1000 20000
0 999
866 625 10
647 603 62
316 409 44
161 995 99
776 600 36
646 400 56
133 388 51
637 726 88
605 63 16
343 134 50
828 988 63
485 150 22
565 348 78
849 878 79
419 866 64
796 141 17
237 105 86
930 996 29
404 147 91
899 980 69
669 7 97
6 974 90
547 244 61
148 446 15
376 752 72
622 944 97
852 894 79
874 696 17
512 603 91
768 273 17
794 342 25
33 426 94
883 378 63
920 385 77
744 366 21
661 758 97
627 95 24
768 626 5
495 854 4
943 424 65
347 389 6
300 230 4
799 284 69
198 1 27
559 285 78
558 401 35
854 712 58
148 510 18
583 720 55
408 803 5
805 989 34
530 87 48
830 668 48
148 872 97
673 979 66
34 383 70
381 128 55
305 431 64
694 640 25
177 397 84
691 396 88
946 228 22
363 331 35
543 434 82
603 103 74
941 4 65
491 417 22
541 925 93
672 776 64
844 403 25
918 529 76
730 852 5
976 569 68
42 219 72
402 278 40
709 762 39
298 35 35
209 403 15
838 962 29
987 803 100
764 37 55
531 154 15
652 704 9
71 861 25
848 51 93
702 8 8
207 625 45
777 515 26
469 368 51
835 25 93
36 260 44
452 868 73
345 879 70
406 312 8
95 643 17
468 243 8
120 680 33
335 647 86
347 529 32
863 867 92
227 302 34
429 884 81
55 455 52
700 775 18
766 324 97
299 598 9
332 82 33
171 368 67
632 492 21
410 573 77
189 760 73
383 465 51
462 430 20
127 868 35
429 658 93
311 397 53
123 949 44
647 96 83
876 997 35
260 916 39
179 486 87
790 817 29
424 742 40
270 261 4
180 965 54
843 802 91
847 491 84
259 978 45
623 930 97
83 766 44
500 136 71
477 438 77
484 385 36
674 350 72
765 904 25
527 185 38
239 425 10
853 469 75
73 435 9
553 965 54
449 202 8
196 419 63
809 736 32
811 440 39
490 961 49
663 383 83
597 702 83
189 707 57
551 553 51
216 834 9
850 461 53
192 99 10
616 46 11
333 36 99
700 534 96
959 957 100
689 458 78
512 978 23
265 707 80
564 711 59
915 555 20
595 578 3
972 456 71
203 293 17
30 44 1
190 262 78
90 958 64
193 899 66
101 560 31
572 563 34
709 743 91
146 900 97
449 308 55
920 680 36
219 843 5
841 364 86
243 286 21
95 139 8
24 64 81
450 318 41
646 517 51
142 728 19
270 505 58
815 648 81
805 477 85
928 753 6
518 61 76
591 129 11
782 293 51
526 592 83
607 882 72
861 898 54
529 306 8
162 270 51
158 176 36
706 369 94
133 128 2
502 922 72
5 229 15
523 862 85
774 608 10
654 765 69
110 616 65
264 673 100
53 689 38
855 795 56
142 174 93
703 668 84
168 355 14
918 757 18
158 626 56
399 330 83
758 903 36
735 923 82
317 708 86
897 281 90
346 502 74
649 977 80
757 687 28
790 37 43
137 499 72
901 612 57
446 901 65
246 658 66
850 677 76
339 926 65
613 325 71
985 100 18
814 820 72
94 749 12
304 74 44
956 623 26
971 352 81
841 423 34
306 183 38
377 354 98
277 573 11
492 346 21
533 574 7
722 623 12
627 549 51
18 545 82
256 49 38
886 93 46
949 943 56
539 471 38
52 585 36
481 701 61
403 276 35
918 347 52
632 919 88
934 555 25
451 721 65
885 362 19
69 297 74
295 919 75
995 554 71
458 580 52
247 404 9
951 473 12
111 259 40
132 729 33
934 334 48
21 861 52
996 882 26
199 107 15
339 96 8
739 724 51
458 619 55
885 692 99
18 70 29
90 450 35
643 897 6
332 508 83
598 498 81
880 28 9
617 707 26
577 303 80
605 255 75
598 366 75
710 555 90
149 673 2
211 192 78
289 675 44
484 239 31
718 479 53
275 901 61
388 648 25
671 129 19
336 422 12
279 731 55
451 360 89
910 8 21
890 850 79
918 115 95
1 948 87
491 62 61
645 265 99
102 841 29
709 675 48
855 416 76
59 654 18
74 166 51
384 483 51
678 274 18
432 554 1
151 267 43
172 628 25
824 936 38
880 150 28
854 354 67
849 621 36
61 229 18
506 898 13
23 794 5
22 27 51
134 996 81
693 44 24
74 881 34
622 592 37
609 315 67
738 809 10
59 363 99
736 99 93
706 725 42
481 282 82
439 912 89
424 688 72
41 836 2
415 962 36
740 295 39
949 841 4
118 26 64
212 15 45
947 716 62
526 308 89
219 752 48
871 417 9
106 492 23
210 651 72
856 404 99
711 774 53
291 103 66
158 225 40
121 1 45
142 935 17
780 610 9
851 518 79
945 303 61
414 283 62
674 980 60
372 586 86
139 725 63
812 712 48
347 894 44
10 241 22
901 511 6
286 328 49
334 974 54
936 225 73
932 195 1
546 377 17
356 108 6
685 145 7
816 856 26
427 864 3
633 603 70
408 235 94
995 814 35
274 350 54
973 605 47
38 368 82
534 816 24
378 994 74
94 26 39
937 945 44
970 158 86
652 422 99
847 428 50
444 107 12
294 778 64
9 371 58
47 524 53
362 606 78
21 711 92
861 811 2
593 203 75
200 614 61
295 701 55
725 20 52
328 239 7
958 529 39
511 87 45
219 146 1
547 675 47
564 475 88
387 806 42
665 646 73
57 831 61
158 722 32
414 502 42
706 993 66
173 663 23
535 907 70
795 368 1
409 584 52
357 839 3
445 583 89
551 371 100
62 415 31
786 342 13
139 241 95
148 307 52
92 439 15
883 635 55
566 807 10
25 786 98
753 761 18
418 73 60
346 63 33
154 552 97
729 352 24
374 347 100
842 66 89
187 937 90
984 830 18
272 687 31
930 117 77
427 958 58
349 837 25
856 103 39
354 236 69
309 881 37
367 132 34
433 686 83
806 430 2
61 555 51
554 956 29
525 996 74
73 963 81
465 627 50
772 267 14
282 941 12
166 282 52
441 850 42
626 670 67
366 17 29
212 537 81
611 756 95
898 193 21
563 990 13
328 463 72
37 133 52
32 748 94
496 866 45
177 33 26
866 74 57
48 130 15
396 908 85
132 811 14
310 654 55
483 778 90
303 333 81
642 243 8
433 67 63
657 331 88
49 964 96
567 306 49
106 460 81
414 193 63
447 895 30
772 870 24
288 659 70
467 418 72
434 301 50
891 417 94
273 936 47
6 205 70
699 154 22
186 345 2
720 565 51
419 440 20
640 396 85
658 332 46
769 645 27
998 606 40
153 937 53
110 204 29
772 944 37
795 596 61
435 763 41
556 296 79
641 761 74
486 369 37
137 773 26
882 235 52
516 703 45
156 325 43
80 396 5
232 76 5
10 460 56
708 474 20
302 540 17
964 153 33
144 874 16
752 278 14
329 206 40
842 450 3
129 207 52
70 386 18
207 882 55
11 83 27
842 427 4
625 429 15
306 864 23
82 958 84
182 1 35
54 179 26
533 155 6
84 627 67
826 554 78
317 240 67
308 225 69
348 846 14
673 371 62
677 158 4
494 237 53
150 125 1
357 942 44
506 657 40
537 115 79
525 338 67
136 633 14
379 959 28
71 669 56
29 451 47
669 56 52
981 853 97
857 639 22
66 60 46
824 133 59
390 328 83
583 119 58
658 103 18
766 762 57
643 522 79
847 81 66
546 40 98
532 9 21
884 535 30
886 184 61
361 894 76
653 821 26
752 36 24
817 343 25
352 126 36
670 902 31
169 556 25
544 76 95
852 322 56
864 25 19
658 845 10
917 947 97
616 597 85
815 971 30
715 743 22
80 696 20
302 851 11
370 210 22
34 46 31
684 968 26
330 729 24
176 265 71
130 535 38
268 502 9
711 985 74
0 972 87
250 648 89
536 662 47
867 510 6
935 18 92
398 986 11
831 499 81
969 186 73
383 218 56
679 897 37
149 964 73
869 884 40
673 485 4
370 850 9
763 855 29
906 376 55
862 437 21
898 373 66
202 403 63
167 419 67
381 209 43
282 737 87
706 549 66
148 372 66
694 519 58
693 48 53
491 956 25
829 469 19
758 852 13
602 557 11
817 173 67
676 534 97
263 956 87
857 914 18
162 90 7
244 397 91
957 814 45
655 343 20
254 924 7
114 412 84
28 660 8
899 600 83
903 381 66
883 469 68
580 234 95
787 702 24
859 774 65
442 394 94
912 775 60
806 25 13
233 879 38
620 501 8
943 335 79
276 231 6
585 822 74
297 775 1
212 85 25
429 2 78
906 752 15
420 531 66
213 212 26
3 132 99
995 658 57
547 818 68
602 682 61
394 113 11
477 541 95
599 702 63
634 99 5
601 418 43
903 7 16
66 579 85
602 371 39
104 366 11
291 463 65
758 576 52
808 427 35
442 247 2
640 698 85
369 342 1
14 609 36
780 89 68
247 726 42
467 194 77
941 843 90
959 254 13
623 300 11
47 191 94
885 867 82
632 639 48
730 209 63
515 930 54
477 537 94
22 916 86
376 963 37
971 939 9
968 392 36
857 207 29
459 936 22
148 420 2
548 404 92
936 782 53
924 815 49
498 649 61
358 252 24
53 852 8
650 773 74
271 573 97
465 332 55
902 752 83
884 45 79
534 500 12
84 153 11
903 307 70
593 194 38
441 734 8
265 728 36
168 28 11
507 608 29
606 850 99
644 41 15
878 637 83
996 831 62
88 450 23
633 697 3
808 797 67
816 46 74
68 294 25
136 169 21
547 21 72
585 665 100
765 15 9
937 430 53
816 136 45
45 246 52
81 684 24
464 387 14
92 297 92
187 674 69
218 483 79
130 897 16
604 31 68
794 889 11
30 96 87
141 595 12
231 856 14
796 386 2
292 335 30
10 995 6
499 333 96
80 733 97
26 918 91
958 179 67
901 346 84
279 654 77
260 661 21
613 783 89
462 892 84
696 56 39
150 2 22
690 314 66
499 546 39
249 602 77
766 294 97
332 345 54
89 579 90
318 570 58
730 436 14
168 592 13
342 137 32
221 103 8
118 352 18
722 532 11
510 858 53
662 158 9
502 368 35
239 949 68
961 668 30
968 529 92
245 883 21
445 365 89
160 341 37
534 617 78
133 337 53
824 727 6
777 842 15
832 61 38
586 283 44
818 462 85
943 536 57
153 20 77
154 527 69
284 214 12
17 149 12
493 197 11
283 406 78
657 146 56
21 181 55
957 383 84
297 66 98
785 496 80
486 478 79
254 772 87
650 557 84
464 999 86
735 240 24
532 780 63
501 749 37
237 607 43
458 448 73
842 653 94
501 441 9
172 485 99
172 413 10
16 352 81
78 145 1
36 468 75
853 79 81
140 411 75
873 284 46
548 122 6
214 257 11
979 654 40
134 9 39
330 205 40
706 732 73
324 22 42
6 119 9
335 43 67
903 725 24
5 520 9
638 258 77
447 263 37
519 855 30
256 313 90
43 889 46
0 420 6
638 513 75
688 695 55
943 115 30
906 705 20
986 162 55
925 706 8
941 232 50
654 575 88
286 132 27
469 280 6
901 380 37
663 923 91
480 914 81
399 2 84
981 731 60
483 979 48
122 264 54
309 858 96
213 585 69
307 998 96
761 192 15
79 980 63
111 836 35
139 646 93
255 526 35
663 262 69
553 699 9
813 116 88
186 859 26
963 945 45
157 112 27
991 555 57
958 669 58
16 440 62
134 965 19
741 636 10
83 583 83
94 547 80
698 668 93
365 673 75
918 172 43
750 700 64
412 858 92
598 146 44
784 447 18
422 233 11
12 731 60
957 830 96
808 822 76
703 920 46
948 651 14
413 685 88
779 967 44
205 179 86
557 52 52
480 648 40
865 912 14
886 209 19
659 993 7
140 170 66
797 904 47
497 890 53
51 779 40
36 473 68
89 215 71
287 867 52
469 755 93
825 103 91
90 967 91
702 973 32
549 258 36
160 869 68
512 142 52
671 640 45
338 486 91
227 486 17
90 282 25
816 258 82
802 801 26
970 239 40
344 446 26
146 701 52
360 889 24
722 753 21
300 654 3
596 196 74
903 578 90
16 821 66
478 529 27
111 119 29
68 975 92
152 659 90
407 174 29
729 514 92
618 503 83
802 107 23
838 608 97
431 86 56
987 925 38
229 759 62
843 734 63
718 346 8
768 203 59
780 618 3
780 367 77
716 814 4
106 896 4
934 308 38
141 651 51
939 908 46
754 141 51
163 288 7
683 726 33
916 594 28
739 87 38
862 236 63
758 327 50
186 197 58
997 824 33
610 432 87
355 115 9
659 198 52
241 529 92
31 740 92
791 465 46
627 685 56
692 18 86
610 879 80
317 230 41
665 25 23
829 365 4
116 742 66
858 736 47
829 140 85
463 130 33
728 348 77
111 703 23
591 980 66
426 954 35
209 333 69
790 109 52
763 886 16
897 492 100
984 803 33
596 85 23
153 508 82
986 327 94
415 758 16
782 219 2
176 765 80
39 284 7
874 248 32
853 916 77
869 615 81
257 955 39
260 143 74
132 40 60
305 387 35
2 222 58
917 756 27
280 171 86
421 898 88
82 124 68
991 500 69
438 296 20
128 801 24
236 874 23
648 145 77
272 789 58
330 20 63
984 505 86
127 394 26
76 996 90
646 963 25
142 947 54
578 207 60
694 301 82
970 532 16
201 110 27
808 59 29
808 956 15
47 146 63
309 593 96
48 245 7
741 593 25
764 116 1
44 956 77
529 166 26
300 345 71
231 354 25
229 767 55
643 301 81
104 615 12
869 894 40
181 982 3
67 429 66
592 191 67
756 345 39
322 565 90
309 477 10
631 583 19
553 455 46
345 364 56
330 263 14
968 226 63
225 689 88
519 44 30
789 948 44
159 689 13
935 4 59
169 222 80
488 1 85
480 525 26
66 326 47
987 946 79
352 55 53
993 173 33
942 494 83
983 208 98
428 581 77
689 257 47
564 64 6
57 692 34
267 495 67
705 265 60
654 194 20
223 873 25
732 29 100
37 503 90
912 352 73
786 582 13
361 175 69
223 702 26
63 869 3
495 233 60
935 579 96
207 393 52
686 948 49
704 355 11
382 129 22
926 698 52
23 655 11
537 159 21
444 728 54
966 342 75
861 933 93
959 896 45
206 71 32
69 994 77
12 847 71
212 349 76
21 835 51
568 977 7
957 242 3
463 710 99
717 486 54
405 974 86
359 980 71
584 240 20
39 85 54
279 318 47
99 669 45
910 707 8
835 459 79
338 750 19
306 601 35
659 482 78
464 679 7
722 170 15
687 124 63
803 528 64
592 867 35
632 483 30
83 516 87
18 481 20
491 375 52
302 272 54
960 773 58
862 105 27
913 760 80
399 704 61
749 755 43
612 320 36
129 435 21
963 355 45
235 377 100
136 104 9
218 277 42
486 990 72
937 74 85
794 210 42
737 770 70
457 658 68
762 468 35
79 727 77
67 420 9
491 148 7
189 123 7
533 428 52
200 149 6
458 979 32
361 103 67
462 185 18
557 67 67
950 348 56
667 262 78
68 1 47
449 862 81
650 913 55
644 760 4
677 102 9
571 465 58
534 816 93
548 4 78
620 62 25
1 759 41
286 76 60
889 740 7
342 636 38
42 108 77
402 574 23
255 927 72
655 167 50
602 512 31
420 830 34
489 117 60
706 256 66
261 297 49
910 773 52
214 171 60
79 681 49
107 54 27
630 145 69
235 647 83
135 429 33
255 688 22
307 33 50
26 53 72
550 901 38
107 953 52
236 65 6
42 695 16
5 39 7
324 582 10
453 577 49
301 108 33
382 294 83
539 530 96
850 984 39
614 323 36
556 109 45
135 300 47
851 475 42
527 381 55
671 90 17
656 429 36
556 326 94
185 799 79
118 582 27
751 347 94
146 809 71
921 272 20
417 924 37
791 509 78
423 458 91
291 15 2
737 244 40
846 671 82
611 311 15
401 943 43
811 803 21
452 135 40
984 600 19
51 703 60
201 83 44
821 276 85
729 302 20
631 334 24
924 105 42
654 450 36
590 500 20
682 371 85
659 654 23
53 949 24
396 990 63
680 706 41
553 288 86
554 18 13
733 54 37
915 642 6
299 310 87
708 251 49
236 437 11
778 637 81
115 58 28
753 166 93
911 366 15
852 295 23
944 983 1
435 130 28
997 749 83
868 645 42
846 181 90
974 236 23
271 661 46
564 958 30
502 272 1
232 972 43
650 527 99
715 842 29
322 39 67
882 321 34
292 745 92
723 462 88
730 281 22
770 360 93
852 749 2
914 699 22
822 556 33
548 231 30
626 733 66
709 736 17
536 359 80
764 980 42
351 891 80
825 106 86
396 481 51
584 543 72
319 510 31
648 851 31
240 339 59
368 421 100
831 36 87
311 713 64
235 183 21
948 544 50
653 242 81
142 414 81
910 551 38
272 698 49
75 416 77
224 859 9
479 906 79
3 977 77
829 482 82
456 220 79
456 30 41
865 664 66
714 358 20
226 937 16
608 516 10
453 771 51
287 16 69
713 204 53
353 992 46
76 288 31
833 627 12
918 359 66
552 240 26
591 461 80
67 317 14
329 982 40
618 943 33
202 226 62
267 360 53
952 693 56
796 631 54
638 97 74
939 132 88
837 672 70
638 449 22
910 854 2
655 509 69
761 14 95
568 474 59
264 38 31
923 985 71
800 531 53
354 730 92
316 132 51
782 589 90
106 822 54
243 214 65
468 916 73
312 278 16
630 452 67
657 700 50
812 811 76
399 247 44
389 582 27
301 635 69
927 917 5
26 231 39
619 866 99
543 426 34
129 864 24
665 528 30
95 625 95
892 379 94
197 209 51
996 797 72
114 682 65
770 283 75
313 62 10
587 574 27
772 19 13
659 431 64
334 730 58
993 575 100
182 151 36
68 872 5
873 251 20
476 673 76
436 25 92
222 198 73
417 121 3
292 290 6
18 415 48
677 111 73
697 533 37
808 967 45
901 787 35
6 95 49
209 801 68
665 3 64
700 508 58
290 452 32
625 129 34
729 164 40
939 804 47
588 883 8
894 918 20
388 524 83
551 951 33
780 914 99
729 136 17
653 249 11
560 746 77
182 764 42
947 932 81
561 80 30
564 157 49
456 939 47
948 128 90
962 38 5
994 360 36
240 720 20
840 162 46
451 527 82
557 405 94
939 877 65
85 719 16
392 312 71
302 860 97
891 992 26
986 890 8
48 107 31
236 411 17
337 505 48
248 592 88
113 891 39
855 588 1
970 305 99
777 445 91
734 847 65
757 408 61
146 175 11
666 806 44
799 750 96
375 777 52
769 548 75
761 913 56
523 481 32
851 791 44
206 997 13
157 824 99
244 76 5
587 881 14
791 496 17
371 96 30
346 501 97
697 457 84
219 256 17
34 12 27
885 754 42
742 477 8
253 649 71
71 858 90
750 798 61
655 131 90
851 695 12
770 977 39
871 965 5
735 858 55
893 456 74
786 853 18
197 802 78
239 359 24
697 378 88
139 140 69
702 877 82
297 926 79
919 219 10
405 139 10
148 107 91
309 449 31
127 690 26
96 32 100
4 87 37
846 933 87
490 45 77
553 257 85
622 402 92
331 429 39
246 382 5
380 147 65
662 243 14
781 437 90
50 192 29
119 953 48
715 437 73
457 848 54
713 273 11
849 415 6
771 60 98
646 178 40
718 663 31
327 675 67
909 346 60
314 71 13
128 612 6
64 909 80
24 714 1
160 705 34
3 657 40
199 9 46
999 150 9
897 706 57
325 990 4
193 295 63
675 466 30
256 640 59
638 671 58
724 688 90
477 563 35
637 161 82
522 952 51
755 119 50
501 226 64
566 988 67
160 625 83
482 232 15
82 187 96
406 6 6
971 769 35
239 678 66
489 884 51
429 112 85
450 350 100
890 520 5
375 869 24
941 884 38
883 187 10
426 29 42
279 414 56
978 587 59
869 759 89
121 838 81
474 181 76
400 711 57
117 450 25
934 615 44
201 615 79
412 837 20
100 446 33
460 83 4
565 581 79
902 251 62
63 237 74
274 780 72
741 720 32
458 26 84
294 752 3
588 814 99
937 751 22
625 837 9
491 597 39
200 882 84
957 368 65
363 309 52
140 850 16
582 922 100
967 377 63
136 220 83
85 431 81
925 951 16
567 951 38
802 278 87
580 407 31
802 239 75
859 768 41
788 831 82
96 123 21
140 743 42
947 606 42
996 555 7
933 720 55
266 700 41
827 603 98
383 907 5
595 40 28
166 11 66
211 563 14
799 47 36
365 558 5
110 760 70
572 597 41
819 717 85
996 796 89
136 745 90
630 9 94
459 483 33
372 659 90
798 571 54
123 87 91
434 376 29
523 758 4
75 127 48
563 248 14
119 528 40
788 128 22
468 175 35
231 63 70
104 443 27
343 837 70
148 386 45
30 394 12
550 464 5
610 445 32
29 753 92
443 26 27
163 183 73
253 292 91
344 239 48
614 470 98
488 520 11
143 638 72
341 559 10
146 92 4
696 284 56
577 688 81
696 225 39
233 401 17
168 852 24
535 373 63
196 379 3
419 426 57
723 696 82
935 764 27
635 230 5
306 168 84
713 569 78
719 616 78
451 740 78
644 328 70
727 628 36
577 181 48
675 104 4
416 851 49
519 367 58
56 297 44
52 816 49
304 581 28
544 479 96
490 723 57
670 343 75
580 344 89
223 364 43
860 190 15
328 9 48
679 109 40
390 763 34
724 692 41
617 562 65
32 318 37
873 163 30
621 146 3
260 902 71
534 559 1
192 355 34
585 68 73
644 430 77
277 319 69
339 484 15
162 372 2
99 858 79
405 80 88
141 443 25
453 524 15
846 977 65
59 272 93
976 749 44
203 979 25
647 717 6
23 605 39
813 262 12
484 187 85
749 668 1
629 690 27
937 348 37
842 574 3
583 972 18
425 387 78
114 208 61
758 562 92
965 730 93
934 695 83
186 932 16
453 863 72
499 496 24
376 297 89
847 685 18
873 645 56
744 788 59
544 293 85
816 371 13
193 925 68
684 679 95
193 365 2
199 651 16
873 475 25
263 433 17
71 905 74
856 813 72
718 449 30
917 339 86
631 817 68
990 217 60
525 768 9
896 994 73
234 42 86
859 202 2
91 755 59
142 763 79
97 137 48
687 289 86
848 313 3
207 857 13
650 810 85
417 977 7
926 245 54
803 907 83
492 845 88
637 963 14
385 629 2
80 416 100
28 541 82
200 637 42
145 578 90
167 399 27
27 722 92
685 262 95
749 171 97
443 240 3
467 45 46
849 544 69
467 416 54
761 73 93
718 98 44
569 3 54
750 279 89
770 996 79
600 352 89
258 598 7
783 36 78
482 335 16
388 272 14
910 290 5
584 748 99
358 803 4
526 609 44
359 681 29
5 159 8
116 236 18
80 348 96
83 319 28
46 600 77
28 959 34
672 836 27
245 942 71
249 223 15
732 222 28
254 325 27
11 12 7
882 875 98
57 159 68
931 395 45
270 469 63
572 890 61
764 243 42
699 748 49
430 650 36
345 211 42
791 740 82
407 968 99
433 497 22
896 282 97
563 167 99
430 517 98
941 652 21
614 54 84
915 936 57
478 311 15
598 762 93
172 158 55
923 223 70
875 463 38
957 821 56
345 865 40
813 635 31
817 330 98
795 241 23
40 225 6
689 96 80
831 463 33
248 542 96
166 681 14
857 436 64
879 231 53
913 840 54
378 895 34
960 393 76
773 82 85
920 140 48
971 270 46
840 922 30
335 40 33
230 689 71
840 482 70
498 11 87
443 109 3
707 456 14
585 890 19
731 295 41
969 686 68
254 387 99
18 89 56
158 614 25
755 858 71
967 81 6
749 399 23
674 916 40
482 918 100
68 913 64
592 901 18
70 289 42
76 409 43
11 448 96
59 18 74
653 512 22
862 888 24
388 468 32
32 514 50
40 138 89
529 781 78
409 258 84
47 626 37
222 114 18
494 11 83
788 853 2
18 698 99
135 980 23
745 297 11
101 117 78
474 94 28
665 647 90
696 995 9
193 127 69
823 158 58
453 381 27
872 807 77
632 154 34
776 435 82
270 64 22
440 517 48
729 367 80
732 936 40
469 391 20
826 44 86
848 349 90
65 643 24
715 429 56
37 543 12
764 299 46
127 465 32
618 173 28
65 653 53
796 781 10
883 430 37
337 365 41
576 624 61
835 807 28
220 661 25
914 31 84
527 70 90
364 730 24
201 810 79
887 283 72
59 451 8
974 215 12
54 88 49
101 537 9
148 829 52
381 228 81
326 517 76
244 254 74
428 667 42
826 219 77
819 438 63
603 113 47
956 125 70
453 307 12
350 965 95
230 429 94
381 572 96
656 502 26
307 679 26
674 401 32
496 373 40
625 632 73
263 226 19
792 549 84
402 508 54
155 664 90
897 230 24
640 647 71
964 342 68
829 692 100
53 188 57
850 127 23
747 25 10
992 260 39
421 244 89
496 481 88
83 421 46
901 821 40
882 70 85
67 402 11
843 648 33
304 541 57
871 909 28
2 528 77
647 373 21
674 886 80
42 618 70
263 564 5
813 886 34
192 776 4
916 45 60
720 149 67
342 919 12
672 746 24
811 476 70
697 888 44
697 724 48
160 104 67
314 983 30
344 935 35
34 203 91
118 270 15
389 550 23
121 293 59
228 402 70
219 259 37
92 955 56
723 130 43
582 229 27
833 286 6
595 325 78
733 291 83
703 192 65
63 618 17
898 163 14
788 450 18
897 176 80
182 880 14
249 84 92
883 998 50
55 525 15
975 814 81
596 138 19
768 414 84
792 732 2
741 52 10
711 405 24
682 767 87
571 59 51
198 6 98
695 758 27
633 501 82
159 665 28
969 372 55
219 855 46
834 827 46
943 732 37
925 351 7
565 184 21
844 147 1
864 392 53
562 172 17
369 367 96
613 76 81
316 898 23
281 6 40
205 59 41
176 944 50
860 292 3
449 829 36
400 94 46
325 202 69
451 890 96
349 275 63
941 220 37
411 293 66
524 81 98
156 817 11
754 104 27
451 214 78
250 91 99
579 243 8
123 421 14
163 868 31
930 228 99
462 261 34
353 749 88
345 360 64
415 905 20
419 922 32
570 917 81
523 476 29
906 132 47
482 337 75
102 990 85
201 322 17
767 666 34
610 180 37
193 420 58
410 484 38
668 353 57
200 711 58
275 175 100
310 238 74
549 324 64
417 732 71
319 38 46
701 664 42
788 939 40
2 102 7
716 706 88
362 391 37
910 948 71
919 517 57
891 514 10
753 570 5
732 74 41
814 484 33
400 693 28
27 621 75
627 428 31
688 807 96
618 733 54
842 18 67
421 337 64
580 208 69
55 933 69
28 0 11
280 569 44
143 755 17
843 785 7
185 451 27
421 855 34
939 570 95
885 931 26
686 398 10
971 131 14
764 982 9
849 528 43
476 846 28
882 132 18
599 923 64
451 928 52
649 818 55
501 111 62
961 11 82
791 118 18
329 566 7
702 163 3
411 96 90
692 678 63
959 938 37
877 157 58
699 25 68
812 146 22
625 101 52
959 398 5
540 529 33
276 913 91
864 125 55
116 623 72
271 450 23
858 49 17
442 583 41
328 766 80
326 733 36
607 622 11
714 422 100
886 461 63
879 167 99
703 581 75
468 988 63
184 566 3
902 870 48
879 720 19
366 485 11
822 469 17
263 210 45
308 908 74
501 520 20
816 392 69
663 17 8
574 419 97
657 526 82
273 145 44
430 760 10
449 968 77
979 47 87
428 367 43
991 23 80
964 923 79
886 264 10
459 170 55
497 718 24
364 723 4
286 662 81
646 358 40
722 980 26
206 989 68
654 767 87
440 124 67
603 907 89
562 323 16
801 194 71
414 516 90
464 650 78
330 391 73
252 855 13
825 621 91
688 430 89
668 881 24
353 448 47
450 185 83
576 943 32
56 774 41
500 224 62
93 914 56
363 543 38
484 398 35
8 882 54
852 870 26
939 568 15
288 868 9
842 180 43
815 390 28
187 57 29
390 23 42
79 901 10
267 174 88
257 307 98
108 71 31
152 23 59
612 740 14
631 329 22
134 274 19
273 178 71
106 116 98
746 208 86
423 696 85
742 371 35
462 56 15
972 831 21
959 774 14
692 379 73
346 373 27
66 190 22
479 485 88
707 699 27
229 599 45
820 231 8
502 950 99
69 905 72
300 270 2
12 645 33
436 896 23
753 588 82
125 722 16
471 866 58
70 286 5
394 109 67
141 565 51
26 737 97
836 235 13
195 315 16
791 612 88
788 871 10
550 827 49
892 195 37
347 360 16
805 529 68
476 559 41
117 707 55
489 159 72
121 461 95
220 561 51
814 693 9
6 128 52
210 542 84
226 507 36
577 12 9
45 548 89
219 228 40
479 837 70
482 15 26
888 846 23
167 975 16
980 680 91
224 68 68
575 469 93
75 918 92
577 761 19
497 364 62
61 832 80
251 14 28
199 846 14
120 602 90
772 812 13
623 64 92
921 294 84
454 713 87
846 396 56
764 591 15
592 418 28
458 10 87
9 63 85
404 983 46
866 102 45
863 175 4
716 926 73
434 227 83
219 662 24
851 36 23
275 612 95
981 780 88
142 751 47
883 5 91
308 751 93
920 130 25
261 28 87
596 802 8
221 189 23
720 671 54
518 655 39
7 752 62
78 758 50
664 122 65
880 427 24
837 732 10
31 112 73
162 12 86
654 370 18
321 192 32
627 684 1
456 741 91
363 15 34
795 509 55
131 327 61
443 474 50
844 529 66
827 76 55
341 730 40
393 182 14
241 138 3
569 766 77
654 277 55
693 193 85
432 598 72
862 477 45
725 288 83
12 984 26
555 175 15
471 722 18
706 807 74
927 381 54
986 598 91
784 919 81
432 425 5
207 120 62
986 863 84
223 419 50
39 667 22
60 343 6
986 439 69
596 266 68
157 918 25
754 494 1
329 475 98
78 465 33
230 239 24
474 40 18
562 67 39
434 597 33
611 582 11
960 791 78
762 717 42
127 598 66
372 545 73
896 92 35
611 891 96
498 638 77
126 202 92
378 419 23
750 648 100
185 297 89
39 894 31
443 762 49
214 904 24
595 379 38
532 995 62
434 536 7
856 686 18
555 584 39
324 372 78
411 90 79
52 457 52
29 462 73
382 706 44
66 841 44
342 105 41
215 304 60
953 654 42
137 94 67
261 739 36
156 87 21
504 404 36
479 22 18
627 693 25
643 107 82
430 846 99
487 4 50
370 651 97
361 355 28
667 301 10
263 652 4
911 860 13
446 453 91
799 826 22
575 962 1
249 563 94
699 706 2
642 643 96
324 693 30
261 511 55
241 296 96
380 790 57
541 849 86
976 788 8
820 403 40
803 72 60
566 110 69
23 693 81
539 683 89
49 875 66
603 710 80
629 85 55
744 259 84
522 754 88
784 955 79
334 729 40
613 499 17
536 560 67
361 725 71
336 508 32
813 194 30
754 705 51
12 454 27
885 425 18
921 573 35
865 14 15
445 175 84
916 113 26
770 560 67
698 810 87
424 223 37
877 19 22
391 553 82
590 303 54
3 820 27
191 219 77
529 406 22
91 67 15
518 571 31
939 520 83
309 322 81
92 924 95
494 308 36
433 478 96
583 199 19
99 950 9
602 324 61
